method,condition,layer,MSE,RMSE,MAE,MAPE,R2,Precision_at_5,MRR
Univariate,N/A,N/A,1.5448504652027983,1.242920136293076,1.0734677882799097,1.641815606797396,-3.5193257119198336,,
Geographic,N/A,N/A,1.6188023867466363,1.27232165223525,1.0937648709233914,1.673931927732008,-3.518601544967773,1.0,
Mean_Pooling,raw,6,1.5925752238542092,1.2619727508366452,1.0774289641950634,1.6493819753378227,-3.4991261388453823,0.8,0.40538461538461534
Lagged_CKA,raw,6,1.742698831798764,1.3201131890102318,1.1344001162618211,1.7355050124630955,-4.178934657101141,0.6,0.4033333333333333
Soft_DTW_g1.0,raw,6,1.5925752238542021,1.2619727508366423,1.0774289641950585,1.6493819753378154,-3.49912613884538,0.8,0.4352380952380952
Mean_Pooling,whitened,6,1.5925752238542048,1.2619727508366434,1.07742896419506,1.6493819753378176,-3.499126138845385,0.8,0.4185714285714286
Lagged_CKA,whitened,6,1.6089989713370294,1.268463232158122,1.0772484211369415,1.648051215421087,-3.7063761768469625,0.4,0.133003663003663
Soft_DTW_g1.0,whitened,6,1.7565929719372655,1.3253652220943726,1.145382409863904,1.7526344268725629,-4.176969785088616,0.8,0.43
Mean_Pooling,raw,8,1.5925752238542037,1.261972750836643,1.0774289641950598,1.6493819753378172,-3.499126138845384,0.8,0.3709523809523809
Lagged_CKA,raw,8,1.5815886339138308,1.2576122748740293,1.0687417070869183,1.6357446590607627,-3.5120019573478256,0.6,0.38999999999999996
Soft_DTW_g1.0,raw,8,1.5614591112848897,1.2495835751500937,1.0645875422067486,1.6298275131729638,-3.4289245703361204,0.6,0.42857142857142855
Mean_Pooling,whitened,8,1.6576433071707306,1.287494973648725,1.0963578617480787,1.6777875643490172,-3.650418411629816,0.6,0.37499999999999994
Lagged_CKA,whitened,8,1.7927737922955724,1.3389450296018774,1.1455687578801121,1.751701583416689,-4.4391261678034954,0.4,0.30166666666666664
Soft_DTW_g1.0,whitened,8,1.5925752238542044,1.2619727508366432,1.07742896419506,1.6493819753378176,-3.499126138845383,0.8,0.43
Mean_Pooling,raw,10,1.5925752238542044,1.2619727508366432,1.07742896419506,1.6493819753378176,-3.499126138845383,0.8,0.4333333333333333
Lagged_CKA,raw,10,1.5275104254850003,1.2359249271234076,1.054703849632025,1.6143437241234575,-3.4780011349473097,0.4,0.3595238095238095
Soft_DTW_g1.0,raw,10,1.5614591112848901,1.2495835751500939,1.064587542206749,1.6298275131729643,-3.4289245703361213,0.6,0.42857142857142855
Mean_Pooling,whitened,10,1.6392509833058533,1.2803323722010052,1.0859121928182962,1.6624886239711798,-3.6447847833510845,0.6,0.375
Lagged_CKA,whitened,10,1.7577097251919904,1.3257864553509326,1.1181677366716236,1.711607934963411,-4.479217551437603,0.2,0.288023088023088
Soft_DTW_g1.0,whitened,10,1.7565929719372655,1.3253652220943726,1.145382409863904,1.7526344268725629,-4.176969785088616,0.8,0.43
