method,top_k,mean_RMSE,median_RMSE,std_RMSE,mean_MAE,median_MAE,pct_impr_vs_to,pct_impr_vs_af,win_vs_to,win_vs_af,n_targets,best_method_count
Lagged_CKA_L8,5,13.237522793199593,12.590149918998044,2.3491424106055967,5.639004731782377,5.3590483846905705,2.956100224235158,-1.1185307132681115,10.0,0.0,10.0,3
Lagged_CKA_L8,10,13.17790540963627,12.542463451981689,2.381175121257023,5.596718596080851,5.301066472850092,3.4426730626407887,-0.6170069267149922,10.0,3.0,10.0,2
Lagged_CKA_L8,20,13.164884617375893,12.489640493225998,2.34881287709233,5.5694282720002874,5.273264780916785,3.5054696269210184,-0.553798047515629,10.0,3.0,10.0,2
Mean_CKA_L8,5,13.27722026784034,12.432032930949083,2.314103805628479,5.669904148994691,5.430163677893993,2.623526099121185,-1.4668484258044008,9.0,0.0,10.0,0
Mean_CKA_L8,10,13.202359684930618,12.266949529359078,2.290801927289012,5.613165740789912,5.386384985227431,3.1539292730544646,-0.9150593999294626,9.0,4.0,10.0,1
Mean_CKA_L8,20,13.142115966037574,12.225166280306375,2.289514246583885,5.576503629676283,5.33506055988685,3.5992984634519942,-0.44429889907831344,9.0,5.0,10.0,3
Pearson,5,13.252180409849345,12.426750223381092,2.3178074543655054,5.65240131686011,5.4128018795617105,2.8149705209800873,-1.2654385244284956,9.0,1.0,10.0,1
Pearson,10,13.173110343346298,12.295665211189263,2.288324617443026,5.591122195566122,5.366663201383309,3.369432385544651,-0.6863931147030892,9.0,4.0,10.0,1
Pearson,20,13.155777842302067,12.255502744498864,2.329967521952557,5.581635734920089,5.331261227154478,3.547256919350667,-0.4997801940866524,9.0,3.0,10.0,1
RandomForest,5,13.200327918723682,12.30804525256989,2.3281636735302356,5.6174627887691715,5.351125582901947,3.219786567699617,-0.8496699510074419,9.0,2.0,10.0,4
RandomForest,10,13.124753773042567,12.31424899564401,2.3389748043918863,5.56739052138254,5.338115249788499,3.802861456800831,-0.24039811128941574,9.0,4.0,10.0,3
RandomForest,20,13.125634151935383,12.375118788534515,2.3409298446982514,5.5657520443706785,5.310925472814992,3.7950103607195897,-0.2461797124620896,10.0,6.0,10.0,0
SparseLinear_L1,5,13.230659618737537,12.461854873428429,2.3459991492743986,5.650874706862403,5.3485842162234105,3.0157109078661244,-1.0638685794469804,9.0,1.0,10.0,1
SparseLinear_L1,10,13.096589514895456,12.41045106820718,2.3118104972126132,5.585663845714879,5.292333107589068,3.9865241171753083,-0.04939310062326706,10.0,5.0,10.0,3
SparseLinear_L1,20,13.079327551509277,12.389322169457206,2.3442683669085436,5.559770963919983,5.276317902320487,4.148259265394627,0.12033221554515908,10.0,6.0,10.0,4
all_features_206,5,13.088266889723268,12.31091885791751,2.305152362093429,5.528304484006961,5.25598370883916,4.029411403973321,0.0,10.0,0.0,10.0,0
all_features_206,10,13.088266889723268,12.31091885791751,2.305152362093429,5.528304484006961,5.25598370883916,4.029411403973321,0.0,10.0,0.0,10.0,0
all_features_206,20,13.088266889723268,12.31091885791751,2.305152362093429,5.528304484006961,5.25598370883916,4.029411403973321,0.0,10.0,0.0,10.0,0
random_k,5,13.24083122792986,12.410194595526736,2.3724422467802047,5.639664087906562,5.337789471353954,2.963736316553619,-1.1142110515756376,9.0,1.0,10.0,1
random_k,10,13.164917070579827,12.38030070496915,2.340536764356316,5.592423579196843,5.2926296951249014,3.5029574162437074,-0.5512459969095095,10.0,2.0,10.0,0
random_k,20,13.16802513849972,12.40644026741844,2.3436606207403683,5.579872146265254,5.2676205298912055,3.4805268899963684,-0.5763123053043764,10.0,2.0,10.0,0
target_only,5,13.63086360498338,12.937749832193937,2.336312042186806,5.903056530386015,5.6069232185514934,0.0,-4.2489478430531715,0.0,0.0,10.0,0
target_only,10,13.63086360498338,12.937749832193937,2.336312042186806,5.903056530386015,5.6069232185514934,0.0,-4.2489478430531715,0.0,0.0,10.0,0
target_only,20,13.63086360498338,12.937749832193937,2.336312042186806,5.903056530386015,5.6069232185514934,0.0,-4.2489478430531715,0.0,0.0,10.0,0
