instance_id,scorer,feature,score,rank,is_relevant
0,random,feat_000,0.636962,9,1
0,random,feat_001,0.269787,15,0
0,random,feat_002,0.040974,17,0
0,random,feat_003,0.016528,19,1
0,random,feat_004,0.81327,6,0
0,random,feat_005,0.912756,2,0
0,random,feat_006,0.606636,10,0
0,random,feat_007,0.729497,8,1
0,random,feat_008,0.543625,11,0
0,random,feat_009,0.935072,1,0
0,random,feat_010,0.815854,5,1
0,random,feat_011,0.002739,20,0
0,random,feat_012,0.857404,4,0
0,random,feat_013,0.033586,18,0
0,random,feat_014,0.729655,7,0
0,random,feat_015,0.175656,16,0
0,random,feat_016,0.863179,3,1
0,random,feat_017,0.541461,12,0
0,random,feat_018,0.299712,14,0
0,random,feat_019,0.422687,13,0
0,pearson,feat_000,0.754538,1,1
0,pearson,feat_001,0.017306,19,0
0,pearson,feat_002,0.019274,18,0
0,pearson,feat_003,0.466407,2,1
0,pearson,feat_004,0.081926,11,0
0,pearson,feat_005,0.108457,7,0
0,pearson,feat_006,0.126411,6,0
0,pearson,feat_007,0.089445,9,1
0,pearson,feat_008,0.095741,8,0
0,pearson,feat_009,0.038406,14,0
0,pearson,feat_010,0.290409,3,1
0,pearson,feat_011,0.021951,17,0
0,pearson,feat_012,0.047045,13,0
0,pearson,feat_013,0.181265,4,0
0,pearson,feat_014,0.061639,12,0
0,pearson,feat_015,0.006328,20,0
0,pearson,feat_016,0.026282,15,1
0,pearson,feat_017,0.025047,16,0
0,pearson,feat_018,0.085512,10,0
0,pearson,feat_019,0.140412,5,0
0,lagged_pearson,feat_000,0.975735,5,1
0,lagged_pearson,feat_001,0.173914,10,0
0,lagged_pearson,feat_002,0.165612,11,0
0,lagged_pearson,feat_003,0.977997,1,1
0,lagged_pearson,feat_004,0.159038,12,0
0,lagged_pearson,feat_005,0.187561,8,0
0,lagged_pearson,feat_006,0.082442,20,0
0,lagged_pearson,feat_007,0.976009,4,1
0,lagged_pearson,feat_008,0.129483,19,0
0,lagged_pearson,feat_009,0.146671,15,0
0,lagged_pearson,feat_010,0.976523,3,1
0,lagged_pearson,feat_011,0.186075,9,0
0,lagged_pearson,feat_012,0.134717,17,0
0,lagged_pearson,feat_013,0.194689,7,0
0,lagged_pearson,feat_014,0.245819,6,0
0,lagged_pearson,feat_015,0.156316,13,0
0,lagged_pearson,feat_016,0.977309,2,1
0,lagged_pearson,feat_017,0.138798,16,0
0,lagged_pearson,feat_018,0.134414,18,0
0,lagged_pearson,feat_019,0.155773,14,0
1,random,feat_000,0.02832,20,0
1,random,feat_001,0.124283,19,0
1,random,feat_002,0.670624,8,0
1,random,feat_003,0.64719,10,0
1,random,feat_004,0.615385,11,0
1,random,feat_005,0.383678,15,1
1,random,feat_006,0.99721,1,0
1,random,feat_007,0.980835,2,0
1,random,feat_008,0.685542,7,0
1,random,feat_009,0.650459,9,0
1,random,feat_010,0.688447,6,0
1,random,feat_011,0.388921,14,0
1,random,feat_012,0.135097,18,0
1,random,feat_013,0.721488,5,1
1,random,feat_014,0.525354,12,1
1,random,feat_015,0.310242,17,1
1,random,feat_016,0.485835,13,0
1,random,feat_017,0.889488,4,1
1,random,feat_018,0.934044,3,0
1,random,feat_019,0.357795,16,0
1,pearson,feat_000,0.113976,7,0
1,pearson,feat_001,0.009236,17,0
1,pearson,feat_002,0.026415,16,0
1,pearson,feat_003,0.005411,20,0
1,pearson,feat_004,0.07299,12,0
1,pearson,feat_005,0.541041,1,1
1,pearson,feat_006,0.087559,9,0
1,pearson,feat_007,0.007277,18,0
1,pearson,feat_008,0.060985,13,0
1,pearson,feat_009,0.111156,8,0
1,pearson,feat_010,0.03224,15,0
1,pearson,feat_011,0.079253,11,0
1,pearson,feat_012,0.006418,19,0
1,pearson,feat_013,0.393584,3,1
1,pearson,feat_014,0.33563,4,1
1,pearson,feat_015,0.272275,5,1
1,pearson,feat_016,0.048104,14,0
1,pearson,feat_017,0.477643,2,1
1,pearson,feat_018,0.0841,10,0
1,pearson,feat_019,0.152267,6,0
1,lagged_pearson,feat_000,0.135241,9,0
1,lagged_pearson,feat_001,0.04885,20,0
1,lagged_pearson,feat_002,0.100818,14,0
1,lagged_pearson,feat_003,0.102434,13,0
1,lagged_pearson,feat_004,0.110657,12,0
1,lagged_pearson,feat_005,0.98242,5,1
1,lagged_pearson,feat_006,0.110732,11,0
1,lagged_pearson,feat_007,0.082534,17,0
1,lagged_pearson,feat_008,0.0805,19,0
1,lagged_pearson,feat_009,0.081875,18,0
1,lagged_pearson,feat_010,0.167353,7,0
1,lagged_pearson,feat_011,0.133601,10,0
1,lagged_pearson,feat_012,0.093105,16,0
1,lagged_pearson,feat_013,0.983489,2,1
1,lagged_pearson,feat_014,0.982559,4,1
1,lagged_pearson,feat_015,0.983724,1,1
1,lagged_pearson,feat_016,0.156854,8,0
1,lagged_pearson,feat_017,0.983161,3,1
1,lagged_pearson,feat_018,0.094425,15,0
1,lagged_pearson,feat_019,0.171233,6,0
2,random,feat_000,0.57153,8,0
2,random,feat_001,0.321869,13,0
2,random,feat_002,0.5943,7,0
2,random,feat_003,0.337911,11,0
2,random,feat_004,0.391619,10,0
2,random,feat_005,0.890274,1,0
2,random,feat_006,0.227158,16,0
2,random,feat_007,0.623187,6,1
2,random,feat_008,0.084015,18,1
2,random,feat_009,0.832644,3,0
2,random,feat_010,0.787098,5,0
2,random,feat_011,0.239369,14,0
2,random,feat_012,0.876484,2,1
2,random,feat_013,0.058568,19,1
2,random,feat_014,0.336117,12,0
2,random,feat_015,0.150279,17,0
2,random,feat_016,0.450339,9,1
2,random,feat_017,0.796324,4,0
2,random,feat_018,0.230642,15,0
2,random,feat_019,0.052021,20,0
2,pearson,feat_000,0.050353,16,0
2,pearson,feat_001,0.036376,19,0
2,pearson,feat_002,0.066965,12,0
2,pearson,feat_003,0.053416,15,0
2,pearson,feat_004,0.111691,7,0
2,pearson,feat_005,0.07586,10,0
2,pearson,feat_006,0.145271,6,0
2,pearson,feat_007,0.617792,3,1
2,pearson,feat_008,0.835218,1,1
2,pearson,feat_009,0.048775,17,0
2,pearson,feat_010,0.092846,8,0
2,pearson,feat_011,0.063957,13,0
2,pearson,feat_012,0.448456,4,1
2,pearson,feat_013,0.708864,2,1
2,pearson,feat_014,0.056562,14,0
2,pearson,feat_015,0.046271,18,0
2,pearson,feat_016,0.249929,5,1
2,pearson,feat_017,0.081544,9,0
2,pearson,feat_018,0.000292,20,0
2,pearson,feat_019,0.06738,11,0
2,lagged_pearson,feat_000,0.215457,6,0
2,lagged_pearson,feat_001,0.065602,20,0
2,lagged_pearson,feat_002,0.069126,19,0
2,lagged_pearson,feat_003,0.186104,7,0
2,lagged_pearson,feat_004,0.140752,15,0
2,lagged_pearson,feat_005,0.168979,9,0
2,lagged_pearson,feat_006,0.160447,10,0
2,lagged_pearson,feat_007,0.98646,3,1
2,lagged_pearson,feat_008,0.986418,4,1
2,lagged_pearson,feat_009,0.144917,14,0
2,lagged_pearson,feat_010,0.150262,12,0
2,lagged_pearson,feat_011,0.150514,11,0
2,lagged_pearson,feat_012,0.983645,5,1
2,lagged_pearson,feat_013,0.986812,1,1
2,lagged_pearson,feat_014,0.147519,13,0
2,lagged_pearson,feat_015,0.09022,16,0
2,lagged_pearson,feat_016,0.9867,2,1
2,lagged_pearson,feat_017,0.183849,8,0
2,lagged_pearson,feat_018,0.078459,17,0
2,lagged_pearson,feat_019,0.069221,18,0
3,random,feat_000,0.404552,14,0
3,random,feat_001,0.198513,18,0
3,random,feat_002,0.090753,20,0
3,random,feat_003,0.580332,9,0
3,random,feat_004,0.298696,16,0
3,random,feat_005,0.671995,6,0
3,random,feat_006,0.199515,17,0
3,random,feat_007,0.942113,4,1
3,random,feat_008,0.36511,15,1
3,random,feat_009,0.105495,19,0
3,random,feat_010,0.629108,7,0
3,random,feat_011,0.927155,5,0
3,random,feat_012,0.440377,12,1
3,random,feat_013,0.95459,2,0
3,random,feat_014,0.499896,10,0
3,random,feat_015,0.425229,13,0
3,random,feat_016,0.620213,8,1
