instance_id,scorer,P@1,R@1,NDCG@1,P@3,R@3,NDCG@3,P@5,R@5,NDCG@5,P@10,R@10,NDCG@10,AP,MRR
0,random,0.0,0.0,0.0,0.3333333333333333,0.2,0.23463936301137822,0.4,0.4,0.30078518014914984,0.4,0.8,0.5098757076393253,0.36318713450292395,8.8
0,pearson,1.0,0.2,1.0,1.0,0.6,1.0,0.6,0.6,0.7227265726449519,0.4,0.8,0.8248239677678635,0.7555555555555556,6.0
0,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
1,random,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.27727342735504823,0.2,0.4,0.27727342735504823,0.29215686274509806,10.6
1,pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
1,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
2,random,0.0,0.0,0.0,0.3333333333333333,0.2,0.2960819109658652,0.2,0.2,0.21398626473452756,0.3,0.6,0.4368949625569334,0.33040935672514615,10.8
2,pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
2,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
3,random,0.0,0.0,0.0,0.3333333333333333,0.2,0.23463936301137822,0.4,0.4,0.3156484524795145,0.3,0.6,0.4226415848467783,0.37499999999999994,8.4
3,pearson,1.0,0.2,1.0,0.6666666666666666,0.4,0.7653606369886217,0.4,0.4,0.5531464700081437,0.2,0.4,0.5531464700081437,0.5555555555555556,9.8
3,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
4,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.227804435066758,0.2288220551378446,12.6
4,pearson,1.0,0.2,1.0,0.6666666666666666,0.4,0.7653606369886217,0.6,0.6,0.6843515475204855,0.4,0.8,0.8051628502199798,0.7247619047619047,5.6
4,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
5,random,0.0,0.0,0.0,0.3333333333333333,0.2,0.23463936301137822,0.2,0.2,0.16958010263680806,0.1,0.2,0.16958010263680806,0.24362859362859365,13.0
5,pearson,1.0,0.2,1.0,0.6666666666666666,0.4,0.7653606369886217,0.6,0.6,0.6843515475204855,0.3,0.6,0.6843515475204855,0.6196904024767802,8.8
5,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
6,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.10209739512291163,0.1934080298786181,14.6
6,pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
6,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
7,random,1.0,0.2,1.0,0.6666666666666666,0.4,0.7653606369886217,0.6,0.6,0.6992148198508501,0.4,0.8,0.8062079522181139,0.7,7.0
7,pearson,1.0,0.2,1.0,1.0,0.6,1.0,0.6,0.6,0.7227265726449519,0.4,0.8,0.8357799744028239,0.7912087912087912,5.2
7,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
8,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1208113026994942,0.23566335625159157,12.0
8,pearson,1.0,0.2,1.0,1.0,0.6,1.0,0.6,0.6,0.7227265726449519,0.5,1.0,0.9427731067700877,0.8392857142857142,4.2
8,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
9,random,0.0,0.0,0.0,0.3333333333333333,0.2,0.23463936301137822,0.4,0.4,0.30078518014914984,0.2,0.4,0.30078518014914984,0.30820512820512824,10.6
9,pearson,1.0,0.2,1.0,1.0,0.6,1.0,0.6,0.6,0.7227265726449519,0.5,1.0,0.933819260234181,0.8142857142857143,4.6
9,lagged_pearson,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.0
